year	Civil Service	Faculty	Graduate Assistants	Labor Represented	Leadership	P&A	Professionals in Training
2004	 43 	 50 	 29 	 43 	 55 	 44 	 32 
2005	 43 	 50 	 29 	 43 	 55 	 44 	 32 
2006	 43 	 50 	 29 	 43 	 56 	 45 	 31 
2007	 44 	 50 	 28 	 43 	 56 	 45 	 31 
2008	 44 	 50 	 28 	 44 	 56 	 45 	 31 
2009	 44 	 51 	 28 	 44 	 56 	 45 	 31 
2010	 44 	 51 	 28 	 44 	 57 	 45 	 31 
2011	 44 	 51 	 28 	 45 	 57 	 45 	 31 
2012	 44 	 51 	 28 	 45 	 56 	 45 	 31 
2013	 45 	 51 	 28 	 45 	 56 	 45 	 31 
2014	 44 	 51 	 28 	 45 	 56 	 45 	 31 
